"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 11 23:14:17 MSK 2023","Wed Jan 11 23:14:19 MSK 2023","2232","tests","test_account_register_page","","","","Проверка видимости элементов на странице регистрации нового пользователя",""
"passed","Wed Jan 11 23:14:26 MSK 2023","Wed Jan 11 23:14:34 MSK 2023","7373","tests","test_account_register_page","","","","Регистрация нового пользователя в магазине опенкарта",""
"passed","Wed Jan 11 23:15:31 MSK 2023","Wed Jan 11 23:15:32 MSK 2023","881","tests","test_catalog_page","","","","Проверка видимости элементов на странице каталога",""
"passed","Wed Jan 11 23:16:08 MSK 2023","Wed Jan 11 23:16:11 MSK 2023","2125","tests","test_general_page","","","","Переключение валют из верхнего меню опенкарта",""
"passed","Wed Jan 11 23:16:18 MSK 2023","Wed Jan 11 23:16:33 MSK 2023","15055","tests","test_product_card_page","","","","Проверка видимости элементов на странице карточки товара",""
"passed","Wed Jan 11 23:14:41 MSK 2023","Wed Jan 11 23:14:43 MSK 2023","1756","tests","test_admin_page","","","","Проверка видимости элементов на странице администратора",""
"passed","Wed Jan 11 23:14:51 MSK 2023","Wed Jan 11 23:15:06 MSK 2023","15559","tests","test_admin_page","","","","Добавление нового товара в разделе администратора",""
"passed","Wed Jan 11 23:15:39 MSK 2023","Wed Jan 11 23:15:41 MSK 2023","2258","tests","test_general_page","","","","Проверка видимости элементов на главной странице",""
"passed","Wed Jan 11 23:15:49 MSK 2023","Wed Jan 11 23:15:51 MSK 2023","2156","tests","test_general_page","","","","Переключение валют из верхнего меню опенкарта",""
"passed","Wed Jan 11 23:15:59 MSK 2023","Wed Jan 11 23:16:01 MSK 2023","2157","tests","test_general_page","","","","Переключение валют из верхнего меню опенкарта",""
"passed","Wed Jan 11 23:15:14 MSK 2023","Wed Jan 11 23:15:23 MSK 2023","8520","tests","test_admin_page","","","","Удаление товара из списка в разделе администратора",""
